instruct: loss 0.06428987266826008 | val_loss 0.07353577094202886
graspobj: loss 0.40330925988918714 | val_loss 0.3485531459533916
graspgrp: loss 0.5196732795507151 | val_loss 0.492558765135692
placeobj: loss 0.25869131085976105 | val_loss 0.22950751588676815
placegrptab: loss 0.05396197674968608 | val_loss 0.0379215026410939
placegrptab: loss 0.0606386670458606 | val_loss 0.031173017612608926
placegrptab: loss 0.052057133636170726 | val_loss 0.02774961507462158
placegrptab: loss 0.05137481030826248 | val_loss 0.029551393201739405
placegrptab: loss 0.047993884265155974 | val_loss 0.030567428856788082
placegrptab: loss 0.051145399914441635 | val_loss 0.02928757446686552
placegrptab: loss 0.04669368663578804 | val_loss 0.03099975128626976
placegrptab: loss 0.04443249369375542 | val_loss 0.02959991253679296
placegrptab: loss 0.05081797716408578 | val_loss 0.02755380742187681
placegrptab: loss 0.043527157170129435 | val_loss 0.031374342024158695
placegrptab: loss 0.04789496713134118 | val_loss 0.034690487740129734
placegrptab: loss 0.0451788847200191 | val_loss 0.02750007669514117
placegrptab: loss 0.04469865370717713 | val_loss 0.02985168583584688
placegrptab: loss 0.04475294173535282 | val_loss 0.03026742925731488
placegrptab: loss 0.042543125947023794 | val_loss 0.03340447526682057
placegrptab: loss 0.03573155971467062 | val_loss 0.025120636898605005
placegrptab: loss 0.0382324110497346 | val_loss 0.026559581395397786
placegrptab: loss 0.03755988815935202 | val_loss 0.02719855637516043
placegrptab: loss 0.037467821645950625 | val_loss 0.027812147148169368
placegrptab: loss 0.038687200840923794 | val_loss 0.0254444418669021
placegrptab: loss 0.032420104560389885 | val_loss 0.022415272856182666
placegrptab: loss 0.0374150027823793 | val_loss 0.028383363312863064
placegrptab: loss 0.03687703569696292 | val_loss 0.0269395940796204
placegrptab: loss 0.03758897375892168 | val_loss 0.023257594141612086
placegrptab: loss 0.043620524714582776 | val_loss 0.0314764119984868
placegrptab: loss 0.0407425927265816 | val_loss 0.028979873600917323
placegrptab: loss 0.037745562889576506 | val_loss 0.02695977122830837
placegrptab: loss 0.03538644952873305 | val_loss 0.02754951797219202
placegrptab: loss 0.03531843779309689 | val_loss 0.027057900842636574
placegrptab: loss 0.03988767924187647 | val_loss 0.027210309374777315
placegrptab: loss 0.035809046241810506 | val_loss 0.02592848245877503
placegrptab: loss 0.058138020746019314 | val_loss 0.02856234802882494
placegrptab: loss 0.04603648218886119 | val_loss 0.026295452068083085
